renter_id,age,household_size,income,credit_score,budget_min,budget_max,desired_beds,desired_baths,desired_sqft_min,has_cats,has_dogs,is_smoker,needs_wheelchair,has_ev,wants_furnished,pref_lat,pref_lon,max_distance_km,laundry_pref,parking_pref,move_urgency,type_pref_apartment,type_pref_house,type_pref_condo,type_pref_townhouse,type_pref_duplex,type_pref_loft,type_pref_cottage_cabin,type_pref_manufactured,type_pref_flat,type_pref_in-law,type_pref_assisted_living,type_pref_land
13,57,3,78372.0,609.0,1750.0,3249.0,2.0,1.0,1257.0,0,1,0,0,0,1,38.6362,-90.2214,32.3,4,2,0,1,0,0,1,0,0,1,0,0,0,0,0
14,55,2,61945.0,547.0,1384.0,2570.0,1.0,1.0,805.0,0,0,0,0,0,1,60.8558,-149.1332,66.8,5,0,1,0,0,0,0,1,0,1,0,1,0,0,0
15,58,4,104218.0,664.0,1848.0,3432.0,5.0,3.5,1523.0,0,0,0,0,0,0,30.5,-87.7148,77.3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
16,44,2,40512.0,523.0,736.0,1366.0,1.0,1.0,503.0,0,0,0,0,0,1,29.1854,-80.8725,78.0,4,3,2,1,0,0,0,0,0,1,0,1,0,0,0
17,24,4,77136.0,639.0,1329.0,2469.0,3.0,2.0,819.0,0,0,0,0,0,0,38.5271,-85.8358,41.3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
18,61,1,47806.0,557.0,822.0,1527.0,2.0,1.0,909.0,0,0,0,0,0,1,32.3124,-90.2855,39.8,3,5,2,0,0,0,0,0,1,0,0,0,0,0,1
19,41,2,73568.0,613.0,1129.0,2097.0,1.0,1.0,825.0,1,0,0,0,0,0,32.879,-117.0189,37.4,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0
20,44,4,74102.0,646.0,1496.0,2777.0,4.0,2.0,1131.0,1,0,0,0,0,1,45.4363,-94.3216,75.7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
21,37,4,79493.0,565.0,1694.0,3145.0,4.0,2.0,1264.0,1,0,1,0,0,0,34.1504,-84.4193,50.2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1
22,27,3,88781.0,656.0,1559.0,2896.0,4.0,2.5,1329.0,0,0,0,0,0,0,42.0285,-83.9306,17.7,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23,66,3,68134.0,544.0,1293.0,2401.0,2.0,1.0,1080.0,1,0,0,0,0,0,45.0266,-93.0967,19.1,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0
24,58,4,72071.0,674.0,1065.0,1978.0,5.0,3.0,1389.0,0,1,0,0,0,0,38.1132,-84.3196,24.0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0
25,51,3,81764.0,562.0,1643.0,3051.0,3.0,2.5,1317.0,0,1,0,0,0,0,37.4226,-122.663,34.3,3,6,0,0,0,0,0,1,0,1,0,1,0,0,0
26,38,1,73704.0,635.0,1284.0,2385.0,0.0,1.0,851.0,0,1,0,0,0,0,43.2451,-85.5488,57.8,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1
27,60,2,75208.0,589.0,1194.0,2217.0,3.0,2.5,1458.0,0,0,0,0,0,0,33.3337,-82.1193,61.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,46,3,77296.0,631.0,1135.0,2107.0,2.0,1.0,1318.0,0,0,1,0,0,0,39.2377,-76.5134,65.0,3,3,1,0,0,0,0,0,0,0,0,1,0,1,1
29,41,2,67008.0,555.0,1228.0,2280.0,2.0,1.0,926.0,1,1,0,0,0,0,37.1631,-122.1142,26.1,4,1,0,0,0,1,0,0,1,0,1,0,0,0,0
30,41,4,62212.0,542.0,1272.0,2362.0,5.0,3.5,1212.0,1,0,0,0,0,0,30.0947,-81.7333,38.2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1
31,29,2,56393.0,657.0,941.0,1747.0,1.0,1.0,791.0,1,0,0,0,0,0,27.9872,-80.4641,64.0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0
32,22,1,37886.0,625.0,608.0,1129.0,2.0,1.5,1089.0,0,0,0,0,0,0,45.5292,-93.6908,36.7,3,4,0,1,0,0,1,0,0,0,0,1,0,0,0
33,46,1,77670.0,595.0,1549.0,2877.0,2.0,1.5,950.0,0,0,0,0,0,0,36.8296,-119.9087,71.8,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0
34,64,4,101423.0,632.0,2006.0,3725.0,5.0,3.5,1407.0,0,0,0,0,0,0,34.3878,-119.2874,45.3,5,2,1,0,1,1,0,1,0,0,0,0,0,0,0
35,21,1,25915.0,544.0,447.0,830.0,1.0,1.0,871.0,1,0,0,0,0,0,33.7316,-116.9265,49.1,4,0,2,0,1,0,1,0,0,0,0,0,0,1,0
36,62,4,83779.0,595.0,1845.0,3427.0,3.0,2.0,1068.0,0,1,0,0,0,0,64.9293,-148.2209,61.8,2,3,0,0,0,1,0,0,1,0,1,0,0,0,0
37,61,1,71336.0,578.0,1413.0,2624.0,1.0,1.0,712.0,0,0,0,0,0,0,27.5059,-82.4248,23.0,2,6,1,0,1,0,0,0,0,0,1,1,0,0,0
38,32,2,43480.0,561.0,944.0,1754.0,3.0,2.0,954.0,0,0,0,0,0,0,34.0987,-117.302,50.0,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0
39,50,4,70786.0,580.0,1604.0,2980.0,4.0,2.5,1487.0,0,1,0,0,0,0,29.756,-82.5771,71.1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0
40,26,2,45087.0,581.0,924.0,1716.0,2.0,1.0,970.0,0,0,0,0,0,0,41.5858,-73.0273,29.0,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0
41,57,4,94021.0,634.0,1612.0,2993.0,5.0,3.0,1558.0,0,0,0,0,0,1,31.9291,-81.2259,44.4,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1
42,54,1,77446.0,543.0,1588.0,2950.0,2.0,1.0,998.0,1,1,0,0,0,0,35.4984,-82.3663,34.3,4,6,1,0,0,0,0,0,0,1,0,0,0,0,0
43,36,2,63375.0,553.0,1158.0,2150.0,1.0,1.0,712.0,1,0,0,0,0,0,37.9501,-84.3436,33.4,2,3,2,0,1,0,0,0,1,0,1,0,0,0,0
44,21,2,79910.0,565.0,1292.0,2400.0,2.0,1.0,918.0,1,0,0,0,1,0,36.4332,-119.747,24.9,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0
45,68,4,77355.0,597.0,1246.0,2314.0,4.0,2.0,993.0,1,1,0,0,0,0,30.4577,-91.1919,36.1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0
46,41,1,66684.0,641.0,1062.0,1973.0,0.0,1.0,754.0,1,0,0,0,0,0,39.7552,-105.072,76.5,2,6,1,1,0,0,0,0,0,0,0,1,0,0,0
47,64,2,57894.0,610.0,1080.0,2005.0,2.0,1.0,1349.0,1,0,0,0,0,0,41.9907,-83.6511,17.5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0
48,53,3,104571.0,750.0,2069.0,3842.0,4.0,2.5,1348.0,1,0,0,0,0,0,33.4887,-86.868,57.5,2,7,1,0,0,0,0,1,0,0,1,1,0,0,0
49,58,5,120343.0,629.0,2781.0,5165.0,4.0,2.0,1471.0,0,0,0,0,0,0,21.3145,-157.7143,48.4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1
50,57,4,100012.0,563.0,2048.0,3803.0,4.0,2.0,1059.0,0,0,0,0,0,0,47.8222,-97.0898,28.7,3,7,1,1,0,0,0,0,0,0,0,0,0,0,1
51,28,4,36127.0,508.0,600.0,1115.0,3.0,2.5,764.0,0,1,1,0,0,0,41.1104,-74.3786,46.5,3,6,1,0,0,0,0,0,0,0,0,0,1,0,0
52,36,2,69694.0,616.0,1526.0,2834.0,3.0,2.5,1075.0,1,0,0,0,1,0,38.5184,-90.3429,40.6,3,1,2,0,1,0,0,0,0,0,0,0,0,0,1
53,42,2,54623.0,615.0,1267.0,2353.0,2.0,1.5,1506.0,0,0,0,0,0,0,33.6169,-117.1289,33.0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0
54,43,4,88187.0,598.0,1605.0,2980.0,5.0,3.5,1104.0,0,1,0,0,0,0,34.307,-84.7546,67.4,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0
55,20,4,32020.0,572.0,714.0,1325.0,3.0,2.5,1372.0,0,0,0,0,0,0,38.601,-77.168,7.3,1,4,2,0,1,0,0,0,0,0,0,0,1,1,0
56,46,4,88454.0,608.0,1866.0,3465.0,5.0,3.5,1509.0,0,0,0,0,0,0,32.4055,-93.6356,72.1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0
57,26,4,56518.0,576.0,981.0,1821.0,4.0,2.0,1412.0,1,0,0,0,0,0,40.5223,-89.6361,26.9,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
58,56,4,75699.0,567.0,1108.0,2059.0,5.0,3.0,1492.0,1,0,0,0,0,0,37.124,-93.5915,41.8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
59,53,1,72111.0,565.0,1492.0,2771.0,2.0,1.5,886.0,1,1,1,0,0,0,36.1815,-114.9481,40.2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
60,65,1,64384.0,602.0,1483.0,2754.0,0.0,1.0,626.0,1,0,0,0,0,0,32.621,-114.6953,47.3,2,6,1,0,0,0,0,0,1,1,0,0,1,0,0
61,56,5,92560.0,591.0,1460.0,2711.0,6.0,3.5,1751.0,0,0,0,0,0,0,39.8497,-104.9733,73.1,5,7,0,0,0,0,0,0,0,1,0,0,0,0,0
62,37,2,71060.0,581.0,1605.0,2981.0,1.0,1.5,1027.0,0,0,0,1,1,0,37.1977,-120.4668,6.2,5,3,0,0,0,0,1,0,1,0,0,1,0,0,0
63,68,1,87847.0,673.0,1440.0,2675.0,0.0,1.0,398.0,0,1,0,0,0,0,28.6813,-81.154,43.8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
64,39,2,66649.0,636.0,1288.0,2392.0,2.0,1.0,1014.0,0,0,0,0,0,0,42.95,-85.4818,69.9,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1
65,34,3,37855.0,638.0,735.0,1365.0,2.0,1.0,938.0,0,1,0,0,0,1,40.7674,-96.6039,47.3,4,6,1,1,0,1,0,0,0,0,0,0,0,0,1
66,65,4,62969.0,640.0,1040.0,1931.0,5.0,3.5,1200.0,1,0,0,0,0,0,38.6311,-77.366,25.8,2,7,0,1,1,0,0,0,0,1,0,0,0,0,0
67,37,4,75381.0,562.0,1115.0,2071.0,4.0,2.0,1547.0,0,0,0,0,0,0,42.6168,-76.6135,32.7,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0
68,21,1,54118.0,592.0,871.0,1618.0,0.0,1.0,628.0,1,0,0,0,0,0,33.6064,-83.3657,23.6,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0
69,42,2,67442.0,603.0,1214.0,2255.0,1.0,1.0,877.0,0,0,0,0,0,0,28.3798,-81.4369,55.1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1
70,59,1,71139.0,518.0,1155.0,2145.0,0.0,1.0,940.0,1,0,0,0,0,0,43.1602,-76.409,71.3,5,6,0,1,0,1,0,0,0,0,0,1,0,0,0
71,27,4,62416.0,548.0,1277.0,2371.0,3.0,2.5,1324.0,0,0,0,0,0,0,42.1769,-88.2591,7.9,0,5,2,0,0,0,1,0,0,1,0,0,0,0,0
72,42,1,70145.0,608.0,1322.0,2456.0,0.0,1.0,963.0,1,1,1,0,0,1,36.3343,-114.9796,36.9,3,7,2,0,0,0,0,0,0,1,0,0,0,0,0
73,24,3,63983.0,582.0,1131.0,2101.0,2.0,1.0,786.0,0,1,0,0,0,0,32.0182,-81.1872,44.3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1
74,53,2,59097.0,594.0,982.0,1824.0,3.0,2.5,1462.0,0,0,0,0,0,0,32.1257,-81.0148,58.1,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0
75,42,3,79327.0,630.0,1617.0,3002.0,4.0,2.5,1187.0,1,0,0,0,0,1,36.3067,-119.5632,79.1,2,6,2,0,0,0,0,0,0,1,0,0,0,0,0
76,35,2,38627.0,546.0,865.0,1606.0,2.0,1.0,823.0,1,1,0,0,0,0,39.4201,-96.3292,29.6,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0
77,29,3,66435.0,549.0,1347.0,2502.0,4.0,2.5,1407.0,0,1,0,0,0,0,41.4429,-93.497,53.3,5,6,2,0,0,0,0,0,0,0,0,1,0,0,0
78,47,3,73420.0,593.0,1333.0,2476.0,4.0,2.5,1218.0,1,0,0,0,0,0,32.65,-83.7082,26.1,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0
79,52,1,66928.0,590.0,992.0,1843.0,0.0,1.0,851.0,0,1,0,0,0,0,42.1495,-83.2515,30.4,3,7,1,0,0,0,0,0,0,0,0,1,0,0,0
80,66,2,77155.0,623.0,1659.0,3080.0,3.0,2.0,999.0,0,0,0,0,0,0,36.6046,-121.8075,49.6,5,4,1,0,1,0,1,0,0,0,0,0,0,0,0
81,40,2,67625.0,484.0,1297.0,2408.0,1.0,1.0,874.0,0,1,0,0,0,0,36.1275,-79.9131,34.7,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0
82,26,2,70347.0,620.0,1066.0,1980.0,3.0,2.0,1481.0,0,0,0,0,0,0,21.6008,-158.0012,49.0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0
83,61,3,81107.0,605.0,1699.0,3155.0,4.0,2.0,1400.0,0,0,0,0,0,0,41.4134,-85.1803,30.5,3,6,0,0,1,0,1,1,0,0,0,0,0,0,0
84,50,2,75339.0,665.0,1250.0,2322.0,2.0,1.0,982.0,0,0,0,0,0,1,28.4659,-81.2579,37.3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1
85,54,4,110103.0,689.0,1894.0,3517.0,5.0,3.0,1515.0,1,1,1,0,0,0,41.2946,-96.1033,76.7,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0
86,23,1,66162.0,590.0,1342.0,2492.0,2.0,1.5,541.0,0,1,0,0,0,0,32.1332,-110.8398,59.5,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0
87,34,3,64464.0,601.0,1047.0,1944.0,4.0,2.0,1257.0,1,0,0,0,0,0,38.809,-77.2656,26.6,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0
88,57,1,58855.0,498.0,1024.0,1902.0,0.0,1.0,454.0,0,1,0,0,0,0,39.0663,-77.0516,26.5,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
89,61,2,66584.0,518.0,1377.0,2558.0,2.0,1.0,942.0,0,0,0,0,0,0,41.3985,-71.1015,72.5,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
90,40,2,69898.0,540.0,1212.0,2251.0,1.0,1.0,622.0,0,0,0,0,0,0,34.7843,-89.999,5.9,3,3,1,0,1,1,0,0,0,1,0,0,0,0,0
91,59,3,77574.0,638.0,1194.0,2217.0,3.0,2.5,1203.0,0,0,1,0,0,0,30.0959,-90.4978,14.8,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0
92,61,1,44009.0,505.0,680.0,1263.0,2.0,1.0,605.0,0,0,0,0,0,0,21.4967,-158.1552,74.8,0,6,1,0,0,0,1,0,0,0,1,0,1,0,0
93,38,3,85407.0,649.0,1650.0,3064.0,2.0,1.0,984.0,0,1,0,0,0,0,42.6033,-114.7343,10.0,1,7,2,0,0,0,0,0,0,0,1,0,0,0,0
94,64,2,83759.0,685.0,1953.0,3627.0,1.0,1.0,1111.0,0,1,0,0,0,0,38.2839,-122.5579,60.1,0,2,2,0,0,0,1,1,0,1,0,0,0,0,0
95,32,5,95252.0,660.0,1825.0,3390.0,6.0,3.5,1790.0,1,1,0,1,0,0,41.2169,-90.1091,41.6,5,4,2,0,0,0,0,1,1,0,1,0,0,0,0
96,30,3,80761.0,628.0,1868.0,3470.0,3.0,2.0,1133.0,0,0,0,1,1,0,35.6153,-78.7737,69.6,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0
97,53,3,83436.0,602.0,1879.0,3489.0,4.0,2.0,1499.0,0,0,0,0,0,0,32.8121,-117.0993,65.2,5,4,2,1,0,0,0,0,0,0,0,0,0,0,1
98,51,4,92652.0,562.0,2062.0,3830.0,4.0,2.0,1281.0,0,0,0,0,0,0,36.4566,-93.8289,72.1,3,5,1,0,0,0,0,0,0,0,0,0,1,0,0
99,25,1,57080.0,560.0,1056.0,1961.0,1.0,1.0,856.0,0,0,0,0,0,0,39.8166,-77.4219,70.5,2,7,0,1,1,1,0,0,0,0,0,0,0,0,0
100,61,3,62520.0,622.0,1221.0,2268.0,2.0,1.0,817.0,0,0,0,0,0,0,32.6877,-117.2211,25.4,4,1,2,0,0,0,0,1,0,0,0,0,0,1,0
101,28,2,48351.0,521.0,974.0,1808.0,1.0,1.5,809.0,1,0,0,0,0,0,42.2753,-83.96,52.9,4,6,2,0,0,0,0,0,1,0,0,0,0,0,1
102,59,3,79717.0,565.0,1168.0,2170.0,4.0,2.5,1506.0,0,0,0,0,0,0,34.1465,-117.1296,15.1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
103,18,1,50463.0,564.0,755.0,1403.0,1.0,1.0,981.0,0,0,0,0,0,0,41.8189,-91.7767,66.2,4,4,0,0,0,1,0,1,0,0,0,0,0,0,1
104,59,2,65561.0,599.0,1507.0,2798.0,1.0,1.0,1201.0,0,0,0,0,0,0,40.0805,-73.7854,43.6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
105,58,3,70003.0,590.0,1290.0,2396.0,4.0,2.0,1473.0,0,1,1,0,0,0,35.6831,-118.9881,33.4,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0
106,58,2,67008.0,614.0,1467.0,2725.0,3.0,2.0,951.0,0,0,0,0,0,1,34.2909,-119.0766,21.0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0
107,52,1,70636.0,652.0,1106.0,2054.0,1.0,1.0,447.0,0,1,0,0,0,1,35.095,-79.0545,42.9,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0
108,42,2,64714.0,661.0,1090.0,2024.0,2.0,1.0,1107.0,0,0,0,0,0,1,29.3705,-81.3376,51.7,1,4,1,0,0,0,0,1,0,0,1,0,1,0,0
109,54,4,64724.0,598.0,974.0,1808.0,5.0,3.0,1580.0,1,0,0,0,0,0,35.1806,-106.786,18.2,0,3,2,0,0,0,1,0,1,0,0,0,0,1,0
110,32,1,35557.0,546.0,756.0,1404.0,0.0,1.0,707.0,1,0,0,0,0,0,34.1717,-117.3235,11.0,4,3,0,0,1,0,0,0,0,0,0,0,1,1,0
111,58,2,74636.0,590.0,1257.0,2335.0,2.0,1.5,1316.0,0,1,0,0,0,0,32.4821,-93.669,53.3,4,4,0,0,1,0,0,0,0,0,0,0,0,1,1
112,46,5,94481.0,606.0,2032.0,3773.0,5.0,3.0,1493.0,0,0,0,0,0,0,34.9355,-106.5201,18.4,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0
113,41,4,79058.0,602.0,1692.0,3142.0,4.0,2.0,1495.0,0,0,0,0,0,0,34.9914,-80.8859,48.7,1,7,0,1,0,0,0,0,0,0,0,1,0,0,0
114,44,1,54551.0,508.0,845.0,1569.0,0.0,1.0,761.0,0,0,0,0,0,0,30.3,-85.5059,19.0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0
115,47,2,80698.0,626.0,1379.0,2560.0,3.0,2.0,1192.0,1,1,0,0,0,0,45.0482,-93.1777,10.0,2,4,1,0,1,0,0,0,0,1,0,0,0,1,0
116,19,1,44628.0,585.0,860.0,1597.0,0.0,1.0,937.0,0,0,0,0,0,0,41.8076,-72.5851,54.1,5,4,1,0,0,0,1,1,0,0,0,1,0,0,0
117,25,5,72548.0,575.0,1570.0,2916.0,6.0,3.5,2025.0,0,0,0,0,0,0,40.4318,-86.8536,12.7,5,7,2,0,0,0,1,0,0,1,1,0,0,0,0
118,30,2,59858.0,615.0,1291.0,2397.0,1.0,1.5,840.0,0,0,0,0,0,0,38.5033,-90.0854,47.5,1,6,1,0,1,1,0,0,0,0,0,1,0,0,0
119,23,2,70077.0,630.0,1353.0,2512.0,3.0,2.5,1279.0,0,0,0,0,0,0,35.2226,-106.4287,19.5,2,3,1,0,0,0,0,1,0,1,0,1,0,0,0
120,40,1,44709.0,590.0,924.0,1716.0,2.0,1.0,1095.0,0,1,0,0,0,1,33.3037,-103.4098,56.9,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1
121,52,2,67141.0,556.0,1531.0,2843.0,3.0,2.0,1106.0,0,0,0,0,0,0,39.6653,-85.5999,51.3,2,7,2,0,0,0,0,0,0,0,0,0,0,1,1
122,52,1,60964.0,587.0,1108.0,2058.0,1.0,1.0,698.0,1,1,0,0,0,0,31.788,-84.0775,72.5,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
123,42,3,91378.0,554.0,1437.0,2670.0,3.0,2.0,1369.0,0,0,0,0,0,0,30.2668,-91.7793,7.5,5,5,2,1,0,0,1,0,0,0,1,0,0,0,0
124,62,2,67777.0,566.0,1069.0,1985.0,3.0,2.5,1452.0,0,0,0,0,0,1,41.0657,-73.578,15.4,2,3,1,0,0,0,0,0,1,1,0,1,0,0,0
125,47,2,59461.0,590.0,1062.0,1973.0,1.0,1.5,863.0,0,1,0,0,0,0,28.1633,-82.3803,46.4,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0
126,22,4,56209.0,592.0,877.0,1628.0,4.0,2.5,1223.0,0,1,0,0,0,0,37.4524,-121.2929,52.8,4,6,0,1,0,0,0,0,0,0,0,0,0,1,1
127,57,1,66255.0,545.0,1477.0,2743.0,0.0,1.0,917.0,0,1,0,0,0,1,38.9723,-84.4289,31.4,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0
128,47,1,76957.0,618.0,1486.0,2761.0,0.0,1.0,527.0,0,0,1,0,0,0,42.7368,-83.667,64.8,3,6,2,0,0,0,1,0,0,0,0,0,0,0,0
129,51,2,67697.0,577.0,1443.0,2680.0,1.0,1.0,936.0,0,0,0,0,0,0,33.7002,-84.3696,34.0,1,5,2,0,0,0,0,0,0,0,0,0,0,1,1
130,47,3,67395.0,558.0,1569.0,2913.0,3.0,2.0,1235.0,0,0,0,0,0,0,33.3671,-117.6452,49.3,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0
131,46,1,50882.0,524.0,922.0,1712.0,2.0,1.0,1026.0,0,1,0,0,0,1,37.9183,-120.8593,53.1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1
132,22,3,47701.0,519.0,1030.0,1914.0,2.0,1.0,1221.0,0,1,0,0,0,0,25.8488,-81.8221,66.4,1,7,1,0,0,0,0,1,0,0,0,0,0,0,1
133,47,2,104568.0,660.0,2197.0,4080.0,1.0,1.5,928.0,1,0,0,0,0,0,27.9195,-80.6046,17.5,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0
134,59,2,77940.0,572.0,1310.0,2433.0,1.0,1.5,858.0,0,0,1,0,0,1,41.8402,-87.6842,50.1,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0
135,33,2,65609.0,559.0,1023.0,1900.0,1.0,1.5,752.0,0,1,0,0,0,0,30.5698,-87.8285,34.4,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0
136,49,1,64197.0,574.0,942.0,1749.0,0.0,1.0,675.0,1,0,0,0,0,1,30.5715,-87.1981,11.3,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0
137,19,1,41849.0,566.0,913.0,1696.0,2.0,1.0,927.0,0,0,0,0,0,0,30.5731,-86.309,62.1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0
138,36,3,78415.0,644.0,1816.0,3372.0,4.0,2.5,1258.0,0,1,0,0,0,0,43.1017,-77.203,17.7,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
139,40,2,71402.0,646.0,1283.0,2383.0,3.0,2.5,1298.0,1,0,0,0,0,1,34.7451,-92.3492,16.2,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0
140,69,2,77493.0,624.0,1492.0,2771.0,3.0,2.0,1028.0,0,1,0,0,0,0,40.5,-74.3016,58.8,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0
141,29,5,71622.0,606.0,1167.0,2168.0,4.0,2.0,1463.0,0,0,0,0,0,0,42.9993,-83.6173,53.5,5,4,1,0,1,0,0,0,0,0,1,0,0,0,0
142,32,1,46372.0,634.0,992.0,1842.0,2.0,1.0,1193.0,0,0,0,0,0,0,21.3014,-157.9834,28.3,5,1,1,0,0,0,1,1,0,0,0,0,1,0,0
